COMMON GENE_ID,CD274 29126
TCGA-EE-A3J3-06,-0.3349
TCGA-EE-A3J4-06,-0.2263
TCGA-EE-A3J5-06,-0.1310
TCGA-EE-A3J7-06,-0.3434
TCGA-EE-A3J8-06,-0.3556
TCGA-EE-A3JA-06,-0.2393
TCGA-EE-A3JD-06,-0.0175
TCGA-EE-A3JE-06,0.7621
TCGA-ER-A3ES-06,-0.3412
TCGA-ER-A3ET-06,-0.1865
TCGA-ER-A3EV-06,-0.3390
TCGA-IH-A3EA-01,-0.2965
TCGA-D3-A3ML-06,-0.3730
TCGA-D3-A3MO-06,-0.3782
TCGA-D3-A3MR-06,-0.1755
TCGA-D3-A3MU-06,-0.2386
TCGA-D3-A3MV-06,-0.3615
TCGA-EB-A3HV-01,-0.3444
TCGA-EE-A180-06,-0.2464
TCGA-EE-A2MF-06,-0.2925
TCGA-EE-A3JB-06,-0.2706
TCGA-EE-A3JH-06,0.1590
TCGA-EE-A3JI-06,-0.3021
TCGA-FR-A2OS-01,-0.3598
TCGA-FW-A3I3-06,-0.3038
TCGA-D9-A3Z1-06,-0.2146
TCGA-D9-A3Z3-06,-0.2065
TCGA-D9-A3Z4-01,-0.2548
TCGA-EB-A3XB-01,-0.1058
TCGA-EB-A3XC-01,-0.3619
TCGA-EB-A3XD-01,-0.2433
TCGA-EB-A3XE-01,-0.3711
TCGA-EB-A3XF-01,-0.0748
TCGA-EB-A3Y6-01,-0.2851
TCGA-EB-A3Y7-01,-0.2997
TCGA-ER-A19M-06,3.2047
TCGA-ER-A19W-06,0.7372
TCGA-ER-A3PL-06,-0.2870
TCGA-FR-A3R1-01,0.2573
TCGA-FR-A3YN-06,-0.0545
TCGA-FR-A3YO-06,-0.3569
TCGA-FW-A3R5-06,-0.2980
TCGA-FW-A3TU-06,-0.3636
TCGA-FW-A3TV-06,-0.3070
TCGA-GF-A3OT-06,2.6141
TCGA-D9-A4Z2-01,-0.3502
TCGA-EB-A41A-01,-0.3596
TCGA-EB-A41B-01,-0.2908
TCGA-EB-A42Y-01,-0.3192
TCGA-EB-A42Z-01,-0.3121
TCGA-EB-A430-01,-0.2912
TCGA-ER-A42H-01,-0.3617
TCGA-ER-A42K-06,-0.3314
TCGA-ER-A42L-06,-0.0906
TCGA-FR-A44A-06,0.4643
TCGA-FS-A4F0-06,-0.1730
