GENE_ID 29126 COMMON,CD274
TCGA-73-4662-01,0.0379
TCGA-73-4666-01,2.3658
TCGA-73-4668-01,-0.4702
TCGA-73-4670-01,-0.4934
TCGA-73-4675-01,-0.6536
TCGA-73-4677-01,-0.5498
TCGA-05-5420-01,0.2535
TCGA-05-5423-01,-0.4806
TCGA-05-5425-01,-0.2205
TCGA-05-5428-01,-0.4195
TCGA-05-5429-01,-0.6682
TCGA-05-5715-01,-0.6053
TCGA-35-5375-01,-0.3482
TCGA-44-5643-01,-0.5712
TCGA-44-5645-01,-0.4411
TCGA-50-5045-01,-0.1660
TCGA-50-5049-01,-0.0927
TCGA-50-5055-01,-0.5586
TCGA-50-5066-01,-0.3112
TCGA-50-5068-01,-0.4516
TCGA-50-5936-01,-0.5527
TCGA-50-5939-01,-0.1325
TCGA-55-5899-01,-0.4217
TCGA-64-5774-01,-0.5158
TCGA-64-5775-01,1.9487
TCGA-64-5778-01,-0.1791
TCGA-64-5779-01,-0.5425
TCGA-64-5781-01,-0.3813
TCGA-64-5815-01,-0.3738
TCGA-75-5146-01,-0.6266
TCGA-75-5147-01,-0.4194
TCGA-80-5611-01,-0.4857
TCGA-83-5908-01,4.6511
TCGA-50-5066-02,-0.5086
TCGA-50-5946-02,-0.5022
