GENE_ID	55509	29126	10320	3665	5371	6772	6773	
COMMON	BATF3	CD274	IKZF1	IRF7	PML	STAT1	STAT2	
TCGA-EE-A183-06	0.0640	-0.2819	0.3996	0.6849	3.7777	-0.8532	0.3122	
TCGA-EE-A184-06	-0.8721	-0.2177	-0.3379	-0.4003	-0.3082	-0.5281	-0.0205	
TCGA-EE-A185-06	-0.8928	-0.3686	-0.5921	-0.7772	0.0979	-0.9594	-0.2904	
TCGA-EE-A20B-06	-0.6757	-0.3275	-0.3426	-0.6164	-0.6110	-0.6465	-0.9181	
TCGA-EE-A20C-06	-0.7938	-0.2715	-0.5758	-0.5307	0.2630	-0.5406	-0.6134	
TCGA-EE-A20F-06	-0.7544	-0.2696	-0.3600	0.1423	0.9930	-0.2333	0.6927	
TCGA-EE-A20H-06	6.2838	-0.3644	-0.5505	-0.6652	-0.5668	-0.7689	-1.0797	
TCGA-EE-A20I-06	-0.8296	-0.1725	-0.4348	0.2507	0.4406	0.5981	-1.0492	
TCGA-EE-A29A-06	-0.4261	-0.2888	-0.5675	-0.7696	-0.5396	-0.5767	-0.7945	
TCGA-EE-A29B-06	-0.8224	-0.3379	-0.5105	-0.1029	0.1573	-0.8064	-0.2135	
TCGA-EE-A29C-06	-0.4588	-0.3301	-0.4697	-0.4370	0.2111	-0.8720	-1.0025	
TCGA-EE-A29D-06	-0.5680	-0.3229	-0.5337	-0.0584	-0.4887	-0.8374	0.2401	
TCGA-EE-A29E-06	-0.6287	-0.3807	-0.5851	-0.9847	-1.1009	-0.9579	-0.4552	
TCGA-EE-A29G-06	-0.7594	-0.3245	-0.3656	-0.7249	-0.2318	-0.6103	-1.0779	
TCGA-EE-A29H-06	-0.7607	-0.2527	-0.2602	-0.1248	-0.2445	-0.2327	0.7131	
TCGA-EE-A29L-06	-0.4250	-0.3621	-0.5835	-1.0183	-1.0240	-0.6399	0.2793	
TCGA-EE-A29M-06	-0.6281	-0.1116	-0.2683	-0.3324	-0.1256	1.1140	3.5030	
TCGA-EE-A29N-06	-0.1864	-0.0231	0.1897	-0.0470	-0.1185	0.8944	0.5597	
TCGA-EE-A29P-06	-0.0320	-0.0603	0.3276	0.2313	-0.2451	2.9568	0.8264	
TCGA-EE-A29Q-06	1.4114	-0.2958	-0.5442	-0.8802	-0.7026	-0.6947	-1.0286	
TCGA-EE-A29R-06	-0.0432	-0.3571	-0.5529	-0.9291	-1.0604	-0.7800	-1.2662	
TCGA-EE-A29S-06	-0.4324	-0.3176	-0.3545	-0.6719	-0.8926	-0.5296	-1.3060	
TCGA-EE-A29T-06	0.1690	-0.0325	-0.1624	-0.9847	-0.1235	0.3368	-1.0340	
TCGA-EE-A29V-06	-0.9506	-0.3220	-0.5761	-0.7992	0.9103	-0.8907	-0.7525	
TCGA-EE-A29W-06	-0.1928	-0.3781	-0.5336	-1.0110	-0.6944	-0.8853	-1.4806	
TCGA-EE-A29X-06	-0.6039	-0.0568	-0.2473	-0.1318	0.2642	-0.1497	-0.3331	
TCGA-EE-A2A0-06	-0.6571	-0.1830	0.3256	-1.1557	-1.0157	-0.0055	0.5011	
TCGA-EE-A2A1-06	-0.1022	-0.0038	0.4558	-0.0172	0.9884	0.6039	0.9403	
TCGA-EE-A2A2-06	-0.1640	-0.2602	-0.1612	-0.5747	-0.7913	-0.4572	-1.1511	
TCGA-EE-A2A5-06	-0.4643	-0.3448	-0.5017	-0.9226	-1.0993	-0.9094	-1.3119	
TCGA-EE-A2A6-06	0.8975	-0.2221	-0.1010	-0.1501	-0.2722	0.6053	1.3802	
TCGA-EE-A2GB-06	-0.9546	-0.3100	-0.5034	-0.1441	-0.3776	-0.0103	1.1549	
TCGA-EE-A2GC-06	0.1594	-0.1410	-0.1156	-0.7025	-0.4730	4.5956	1.0734	
TCGA-EE-A2GD-06	0.1493	-0.2045	-0.3730	-0.8157	-0.8564	-0.3445	-0.1209	
TCGA-EE-A2GE-06	0.9407	-0.0156	0.3318	-0.2948	0.3534	0.3903	-0.2567	
TCGA-EE-A2GH-06	0.2060	-0.2660	0.2947	0.1584	-0.1518	-0.3927	-0.6316	
TCGA-EE-A2GI-06	0.0463	-0.2134	-0.1495	0.1394	1.2832	1.1884	0.7998	
TCGA-EE-A2GJ-06	-0.2666	-0.1575	-0.0293	-0.2570	-0.5876	0.7622	0.7334	
TCGA-EE-A2GK-06	1.7969	-0.2594	4.8533	1.6612	-0.2578	-0.5427	-0.6161	
TCGA-EE-A2GL-06	0.3982	-0.2270	1.0759	0.3307	-0.4180	-0.5034	-0.9904	
TCGA-EE-A2GM-06	-0.6596	-0.3135	-0.5229	-1.0853	-0.7990	-0.5270	0.1187	
TCGA-EE-A2GN-06	-0.6379	-0.3493	-0.5115	-0.8881	0.0494	-0.7540	-0.6257	
TCGA-EE-A2GO-06	0.4945	-0.3027	-0.5655	-0.8721	1.1269	-0.9095	-1.3366	
TCGA-EE-A2GP-06	-0.3121	-0.2249	-0.3280	-0.5669	-0.9092	-0.6294	-0.8077	
TCGA-EE-A2GR-06	-0.8235	-0.3807	-0.5795	-0.7884	-0.9225	-1.0114	-0.7331	
TCGA-EE-A2GS-06	-0.6157	-0.3014	-0.4864	1.8984	0.0210	1.9817	0.8758	
TCGA-EE-A2GT-06	-0.1246	-0.3398	1.1410	0.0657	-0.4345	-0.8057	-0.4487	
TCGA-EE-A2GU-06	0.2179	-0.0875	-0.0708	-0.4238	1.3717	2.6254	-0.0980	
TCGA-EE-A2M5-06	1.7986	2.3548	-0.4215	-0.7786	-0.3276	-0.4040	-1.2711	
TCGA-EE-A2M6-06	0.5146	-0.3211	-0.3567	-0.8917	-1.1569	-0.8475	-1.6454	
TCGA-EE-A2M7-06	-0.7397	-0.3371	0.0497	-0.4125	-0.1012	-0.0648	-0.8867	
TCGA-EE-A2M8-06	0.0487	0.2724	1.5013	0.0131	0.8731	2.9365	1.6040	
TCGA-EE-A2MC-06	2.8910	0.1699	0.0978	0.1535	0.5123	0.4342	-0.1027	
TCGA-EE-A2MD-06	-0.9777	-0.2988	-0.3378	-1.0194	-0.2181	-0.5703	-0.3667	
TCGA-EE-A2ME-06	0.9278	0.1450	2.9015	-0.2081	0.0174	1.8953	0.3096	
TCGA-EE-A2MG-06	0.6619	-0.1832	1.6205	0.6090	-0.1081	-0.1918	-0.2725	
TCGA-EE-A2MH-06	0.7460	-0.3219	0.2185	0.5210	-0.5611	0.2209	0.6240	
TCGA-EE-A2MI-06	0.3979	-0.1185	-0.1611	-0.7122	-0.5016	0.3380	-0.8061	
