# Warning:  Unknown gene:  
GENE_ID	571	602	29126	1390	2113	2114	54815	3097	3159	3297	3659	4791	4800	4824	5371	5914	5966	5970	5971	6776	7005	7004	
COMMON	BACH1	BCL3	CD274	CREM	ETS1	ETS2	GATAD2A	HIVEP2	HMGA1	HSF1	IRF1	NFKB2	NFYA	NKX3-1	PML	RARA	REL	RELA	RELB	STAT5A	TEAD3	TEAD4	
TCGA-44-6775-01	1.1351	-0.8921	-0.3552	-0.2932	0.0197	-0.1241	-0.4016	0.1453	-0.2744	-0.5048	-0.6632	-0.4389	-1.0268	NA	-0.1374	0.2463	0.0433	0.0992	0.1857	0.8500	-0.5251	-0.3447	
TCGA-44-6776-01	-1.2537	-1.3531	-0.6192	-0.4345	-0.4988	-0.3837	-0.8670	-0.8396	-0.1155	-0.4616	-1.2748	-1.0394	-1.5636	NA	-1.1148	-0.3326	-0.9460	-0.9927	-1.5010	-0.8045	2.0645	-0.7401	
TCGA-44-6777-01	1.6255	-0.6034	0.1677	-0.1394	0.8825	-0.2516	-0.0482	0.8524	-0.6482	-0.2177	0.0307	-0.4168	-0.4428	NA	-0.1651	1.1976	0.4027	0.2491	-0.3001	1.9670	-1.4662	-0.5337	
TCGA-44-6778-01	0.4077	-0.5851	0.6714	0.2698	1.9874	-0.0171	-0.7511	-0.1120	-0.3504	-0.4579	0.5456	-0.5523	0.0310	NA	-0.6023	-0.7249	1.1332	-0.9359	-0.5519	1.6499	-2.0910	-0.5320	
TCGA-44-6779-01	0.3178	0.0204	-0.0887	-0.1129	1.3858	0.1701	-0.1792	1.1515	1.2073	0.0807	2.6918	2.2281	-0.8362	NA	1.6895	-0.6271	3.6018	2.6321	0.7420	-0.0088	0.4013	0.1389	
TCGA-49-4487-01	-0.1501	0.6642	-0.4403	2.4122	0.9735	1.0659	0.4644	0.2800	-0.0308	-0.8707	-0.0860	0.2129	1.0556	NA	-0.5826	-0.4879	-1.0023	-0.4476	0.3547	0.5068	0.1110	0.7838	
TCGA-49-4490-01	0.1537	-0.5094	-0.6533	-1.0013	-0.5742	-0.6159	1.4001	0.3499	0.6752	4.1389	-0.9395	-0.0056	0.6881	NA	0.2735	4.0981	-0.9656	1.5090	-0.0220	-0.3104	2.1578	-0.5316	
TCGA-49-4512-01	-0.8984	0.7021	-0.6204	-0.5651	-0.9189	-0.2882	0.6194	-0.6101	-0.5535	3.0754	-0.1342	0.0741	-0.7027	NA	0.2258	1.6128	-0.8264	0.8755	-0.1156	-0.6499	0.2368	-0.0370	
TCGA-49-4514-01	-0.2730	0.4030	-0.6583	-0.1747	-0.7590	0.7899	2.2474	-1.9366	1.5121	6.8804	-0.7175	3.2831	-0.4733	NA	-0.9923	0.2761	-1.3519	1.6874	2.3546	0.0005	0.3662	1.8225	
TCGA-49-6742-01	0.1649	-0.5105	-0.6029	0.8373	-0.8180	3.5040	-1.1009	-0.3662	0.4393	-0.1458	0.0117	0.4956	0.2806	NA	0.0970	-0.3976	-0.6876	0.6689	2.1049	-0.9685	2.0425	1.4115	
