GENE_ID,5916,6256,7008,55509,10320,3665,5371,6772,6773
COMMON,RARG,RXRA,TEF,BATF3,IKZF1,IRF7,PML,STAT1,STAT2
TCGA-EE-A20B-06,-0.1858,0.5622,1.0247,-0.6757,-0.3426,-0.6164,-0.6110,-0.6465,-0.9181
TCGA-EE-A20C-06,-0.7533,1.0847,4.0668,-0.7938,-0.5758,-0.5307,0.2630,-0.5406,-0.6134
TCGA-EE-A20F-06,-0.4743,-1.4529,-0.8740,-0.7544,-0.3600,0.1423,0.9930,-0.2333,0.6927
TCGA-EE-A20H-06,2.8263,-0.6377,-0.2768,6.2838,-0.5505,-0.6652,-0.5668,-0.7689,-1.0797
TCGA-EE-A20I-06,-1.3415,0.6146,-0.6516,-0.8296,-0.4348,0.2507,0.4406,0.5981,-1.0492
TCGA-EE-A29A-06,1.4166,0.3466,3.0551,-0.4261,-0.5675,-0.7696,-0.5396,-0.5767,-0.7945
TCGA-EE-A29B-06,1.5580,0.2592,0.2031,-0.8224,-0.5105,-0.1029,0.1573,-0.8064,-0.2135
TCGA-EE-A29C-06,-0.8752,0.6464,-1.1612,-0.4588,-0.4697,-0.4370,0.2111,-0.8720,-1.0025
TCGA-EE-A29D-06,0.0993,-1.5080,-0.3735,-0.5680,-0.5337,-0.0584,-0.4887,-0.8374,0.2401
TCGA-EE-A29E-06,-0.3362,-0.5820,-1.0916,-0.6287,-0.5851,-0.9847,-1.1009,-0.9579,-0.4552
TCGA-EE-A29G-06,3.1386,4.7433,0.3748,-0.7594,-0.3656,-0.7249,-0.2318,-0.6103,-1.0779
TCGA-EE-A29H-06,-0.2200,0.0966,-0.7753,-0.7607,-0.2602,-0.1248,-0.2445,-0.2327,0.7131
TCGA-EE-A29L-06,-1.0437,-1.5304,0.4641,-0.4250,-0.5835,-1.0183,-1.0240,-0.6399,0.2793
TCGA-EE-A29M-06,-0.3960,-0.7678,-0.6816,-0.6281,-0.2683,-0.3324,-0.1256,1.1140,3.5030
TCGA-EE-A29N-06,-0.9825,-1.2796,-0.7129,-0.1864,0.1897,-0.0470,-0.1185,0.8944,0.5597
TCGA-EE-A29P-06,-0.3584,-1.0332,1.0494,-0.0320,0.3276,0.2313,-0.2451,2.9568,0.8264
TCGA-EE-A29Q-06,-1.1829,-1.6971,-0.6816,1.4114,-0.5442,-0.8802,-0.7026,-0.6947,-1.0286
TCGA-EE-A29R-06,0.0083,-0.7794,-0.7994,-0.0432,-0.5529,-0.9291,-1.0604,-0.7800,-1.2662
TCGA-EE-A29S-06,0.3848,-1.2133,-0.1291,-0.4324,-0.3545,-0.6719,-0.8926,-0.5296,-1.3060
TCGA-EE-A29T-06,1.4122,-0.5657,0.5484,0.1690,-0.1624,-0.9847,-0.1235,0.3368,-1.0340
TCGA-EE-A29V-06,0.1909,0.6108,0.0721,-0.9506,-0.5761,-0.7992,0.9103,-0.8907,-0.7525
TCGA-EE-A29W-06,0.8588,0.9821,1.4753,-0.1928,-0.5336,-1.0110,-0.6944,-0.8853,-1.4806
TCGA-EE-A29X-06,-0.7279,-0.7344,0.0429,-0.6039,-0.2473,-0.1318,0.2642,-0.1497,-0.3331
TCGA-EE-A2A0-06,0.2694,-1.5503,-1.0870,-0.6571,0.3256,-1.1557,-1.0157,-0.0055,0.5011
TCGA-EE-A2A1-06,0.9511,0.6809,0.0623,-0.1022,0.4558,-0.0172,0.9884,0.6039,0.9403
TCGA-EE-A2A2-06,0.0799,-1.6529,-0.0587,-0.1640,-0.1612,-0.5747,-0.7913,-0.4572,-1.1511
TCGA-EE-A2A5-06,1.2999,0.8096,0.7323,-0.4643,-0.5017,-0.9226,-1.0993,-0.9094,-1.3119
TCGA-EE-A2A6-06,-0.5156,-0.2663,1.0283,0.8975,-0.1010,-0.1501,-0.2722,0.6053,1.3802
TCGA-EE-A2GB-06,-0.8038,-1.1576,0.5238,-0.9546,-0.5034,-0.1441,-0.3776,-0.0103,1.1549
TCGA-EE-A2GC-06,-1.3013,-1.4988,0.1974,0.1594,-0.1156,-0.7025,-0.4730,4.5956,1.0734
TCGA-EE-A2GD-06,-0.3657,-1.0337,0.6413,0.1493,-0.3730,-0.8157,-0.8564,-0.3445,-0.1209
TCGA-EE-A2GE-06,2.2717,-0.5141,-0.8085,0.9407,0.3318,-0.2948,0.3534,0.3903,-0.2567
TCGA-EE-A2GH-06,-0.3237,-0.8952,-0.7396,0.2060,0.2947,0.1584,-0.1518,-0.3927,-0.6316
TCGA-EE-A2GI-06,-0.5867,-1.3990,0.4925,0.0463,-0.1495,0.1394,1.2832,1.1884,0.7998
